type	latitude	longitude	altitude (m)	name	desc
T	-12.012700904	-76.945511629	304.2		
T	-12.012712997	-76.945774011	304.0		
T	-12.012720900	-76.945937987	304.2		
T	-12.012731022	-76.946134862	304.4		
T	-12.012737020	-76.946266073	304.6		
T	-12.012745969	-76.946462907	304.8		
T	-12.012680658	-76.946564227	305.2		
T	-12.012619626	-76.946764195	305.3		
T	-12.012557429	-76.946931541	305.1		
T	-12.012494043	-76.947066207	305.0		
T	-12.012503444	-76.947263556	304.6		
T	-12.012440419	-76.947431357	304.2		
T	-12.012339221	-76.947535199	304.2		
T	-12.012242123	-76.947705134	304.1		
T	-12.012178324	-76.947840565	304.0		
T	-12.012075136	-76.947978043	303.9		
T	-12.012004345	-76.948113873	303.9		
T	-12.011933369	-76.948183816	303.9		
T	-12.011864253	-76.948287074	303.8		
T	-12.011833417	-76.948355132	303.8		
T	-12.011809283	-76.948522443	304.1		
T	-12.011760560	-76.948657891	304.4		
T	-12.011784078	-76.948822304	304.6		
T	-12.011699321	-76.949059321	305.5		
T	-12.011673351	-76.949226776	306.3		
T	-12.011583516	-76.949431273	308.4		
